SCHNAM,LSTREE,LCITY,LSTATE,LZIP
BARTRAM JOHN - MAIN,2401 SOUTH 67TH ST,PHILADELPHIA,PA,19142
CENTRAL HS,1700 WEST OLNEY AVE,PHILADELPHIA,PA,19141
FRANKFORD HS,5000 OXFORD AVE,PHILADELPHIA,PA,19124
FRANKLIN BENJAMIN HS,550 NORTH BROAD ST,PHILADELPHIA,PA,19130
NORTHEAST HS,1601 COTTMAN AVE,PHILADELPHIA,PA,19111
OVERBROOK HS,5898 LANCASTER AVE,PHILADELPHIA,PA,19131
SOUTH PHILADELPHIA HS,2101 SOUTH BROAD ST,PHILADELPHIA,PA,19148
WEST PHILADELPHIA HS,4901 CHESTNUT ST,PHILADELPHIA,PA,19139
GREENBERG JOSEPH SCH,600 SHARON LN,PHILADELPHIA,PA,19115
DECATUR STEPHEN SCH,3500 ACADEMY RD,PHILADELPHIA,PA,19154
LOCKE ALAIN SCH,4550 HAVERFORD AVE,PHILADELPHIA,PA,19139
MORRIS ROBERT SCH,2600 WEST THOMPSON ST,PHILADELPHIA,PA,19121
LOESCHE WILLIAM H SCH,595 TOMLINSON RD,PHILADELPHIA,PA,19116
STEARNE ALLEN M SCH,1655 UNITY ST,PHILADELPHIA,PA,19124
DUCKREY TANNER SCH,1501 WEST DIAMOND ST,PHILADELPHIA,PA,19121
HANCOCK JOHN SCH,3700 MORRELL AVE,PHILADELPHIA,PA,19114
HACKETT HORATIO B SCH,2161 EAST YORK ST,PHILADELPHIA,PA,19125
POTTER-THOMAS SCH,3001 NORTH 6TH ST,PHILADELPHIA,PA,19133
COOK-WISSAHICKON SCH,201 EAST SALAIGNAC ST,PHILADELPHIA,PA,19128
CRAMP WILLIAM SCH,3449 NORTH MASCHER ST,PHILADELPHIA,PA,19140
WEBSTER SCH,3400 FRANKFORD AVE,PHILADELPHIA,PA,19134
HARTRANFT JOHN F SCH,720 WEST CUMBERLAND ST,PHILADELPHIA,PA,19133
BETHUNE MARY MCLEOD SCH,3301 OLD YORK RD,PHILADELPHIA,PA,19140
HAMILTON ANDREW SCH,5640 SPRUCE ST,PHILADELPHIA,PA,19139
GREENFIELD ALBERT M SCH,2200 CHESTNUT ST,PHILADELPHIA,PA,19103
HESTON EDWARD SCH,1621 NORTH 54TH ST,PHILADELPHIA,PA,19131
WRIGHT RICHARD R SCH,2700 WEST DAUPHIN ST,PHILADELPHIA,PA,19132
ALLEN DR ETHEL SCH,3200 WEST LEHIGH AVE,PHILADELPHIA,PA,19132
MCKINLEY WILLIAM SCH,2101 NORTH ORKNEY ST,PHILADELPHIA,PA,19122
KELLY JOHN B SCH,5116 PULASKI AVE,PHILADELPHIA,PA,19144
JUNIATA PARK ACADEMY,801 EAST HUNTING PARK AVE,PHILADELPHIA,PA,19124
ADAIRE ALEXANDER SCH,1300 EAST PALMER ST,PHILADELPHIA,PA,19125
CONWELL RUSSELL MS,1849 EAST CLEARFIELD ST,PHILADELPHIA,PA,19134
WASHINGTON GEORGE HS,10175 BUSTLEON AVE,PHILADELPHIA,PA,19116
